gbifID,species,decimalLatitude,decimalLongitude,elevation
4018239521,Amelanchier alnifolia,45.679904,-121.409008,68
4018236542,Amelanchier alnifolia,47.619202,-117.204827,628
4018132632,Amelanchier alnifolia,50.670628,-121.972192,243
4014971752,Amelanchier alnifolia,54.786344,-121.186048,853
4011908323,Amelanchier alnifolia,45.708107,-121.362959,41
4011822315,Amelanchier alnifolia,45.716292,-121.361634,154
4011800680,Amelanchier alnifolia,44.260975,-121.534997,1017
4011800444,Amelanchier alnifolia,47.556996,-122.374444,96
4011523075,Amelanchier alnifolia,44.010095,-123.133688,213
4011508684,Amelanchier alnifolia,49.501268,-117.302667,667
4009898951,Amelanchier alnifolia,48.57177,-120.368988,633
4009846541,Amelanchier alnifolia,44.066073,-123.310022,116
4009807402,Amelanchier alnifolia,45.55402,-122.184805,46
4009740320,Amelanchier alnifolia,46.344167,-120.831918,419
4009724528,Amelanchier alnifolia,48.658417,-120.544494,771
4009668364,Amelanchier alnifolia,45.160413,-121.31237,478
4009660553,Amelanchier alnifolia,48.88838,-120.630237,1374
4006744306,Amelanchier alnifolia,45.719941,-121.363186,178
4006725842,Amelanchier alnifolia,49.228855,-123.950172,8
4006711456,Amelanchier alnifolia,45.686226,-121.246151,294
4006707314,Amelanchier alnifolia,45.663738,-121.329217,343
4006696495,Amelanchier alnifolia,45.161717,-121.310718,473
4006675498,Amelanchier alnifolia,45.713508,-121.700011,749
3994349487,Amelanchier alnifolia,51.459263,-116.534039,1397
3994337587,Amelanchier alnifolia,51.439739,-116.538078,1304
3994296536,Amelanchier alnifolia,49.596956,-119.699778,588
3994275428,Amelanchier alnifolia,45.360842,-122.616069,82
3994185369,Amelanchier alnifolia,48.399297,-122.6625,1
3994181240,Amelanchier alnifolia,54.025661,-124.012283,636
3994179315,Amelanchier alnifolia,45.306463,-122.946941,62
3994140628,Amelanchier alnifolia,45.342287,-121.909287,611
3994121376,Amelanchier alnifolia,47.695338,-122.53582,13
3994086510,Amelanchier alnifolia,51.443438,-116.530769,1299
3994048374,Amelanchier alnifolia,48.536222,-123.499642,227
3988852409,Amelanchier alnifolia,43.996067,-122.9496,212
3988665317,Amelanchier alnifolia,44.025395,-122.998681,139
3988633104,Amelanchier alnifolia,49.527799,-120.901966,935
3988590717,Amelanchier alnifolia,49.205013,-125.08622,116
3988576379,Amelanchier alnifolia,43.993862,-122.947442,175
3988575044,Amelanchier alnifolia,49.521511,-120.912315,986
3988560622,Amelanchier alnifolia,49.285576,-119.583878,491
3988504391,Amelanchier alnifolia,44.026031,-123.011649,143
3988455428,Amelanchier alnifolia,44.018752,-122.99825,139
3988436637,Amelanchier alnifolia,48.492758,-123.34337,197
3986283640,Amelanchier alnifolia,49.23355,-123.962806,6
3986203968,Amelanchier alnifolia,49.076263,-120.770208,1757
3986143008,Amelanchier alnifolia,46.663764,-118.22734,243
3986142969,Amelanchier alnifolia,48.496495,-120.263292,571
3986111028,Amelanchier alnifolia,50.458222,-119.309172,960
3986072932,Amelanchier alnifolia,50.13258,-119.348709,524
3986022923,Amelanchier alnifolia,42.112964,-122.5429,811
3986005055,Amelanchier alnifolia,48.566459,-123.455933,77
3985932539,Amelanchier alnifolia,49.332875,-123.261806,30
3985931644,Amelanchier alnifolia,49.302464,-124.247308,6
3985809683,Amelanchier alnifolia,49.312725,-124.212436,17
3985755684,Amelanchier alnifolia,49.315842,-121.415439,350
3985714927,Amelanchier alnifolia,49.77448,-119.523188,717
3985698911,Amelanchier alnifolia,49.84021,-125.907761,345
3985698829,Amelanchier alnifolia,44.528325,-121.6307,836
3985685937,Amelanchier alnifolia,49.29472,-119.522362,427
3985665797,Amelanchier alnifolia,44.544644,-121.627967,835
3985657863,Amelanchier alnifolia,44.526886,-121.629853,837
3985638924,Amelanchier alnifolia,49.85437,-125.821327,278
3985620815,Amelanchier alnifolia,44.459899,-121.644861,896
3968371200,Amelanchier alnifolia,44.2045,-122.25246,838
3966750283,Amelanchier alnifolia,48.389919,-123.515915,10
3966747189,Amelanchier alnifolia,48.493228,-123.342872,169
3966688260,Amelanchier alnifolia,48.398045,-123.304222,14
3966686508,Amelanchier alnifolia,48.055015,-121.519058,597
3966535654,Amelanchier alnifolia,46.853921,-120.489237,436
3966534770,Amelanchier alnifolia,49.419603,-123.491239,173
3966400297,Amelanchier alnifolia,47.108582,-122.654264,56
3963507651,Amelanchier alnifolia,45.740263,-121.228263,74
3963414465,Amelanchier alnifolia,50.07999,-119.417891,636
3963233523,Amelanchier alnifolia,44.536628,-121.627342,836
3961394950,Amelanchier alnifolia,49.110519,-118.978889,610
3961391347,Amelanchier alnifolia,49.086538,-119.058954,1023
3961387493,Amelanchier alnifolia,49.254009,-122.960335,20
3961377628,Amelanchier alnifolia,49.217221,-121.068869,697
3961337600,Amelanchier alnifolia,47.47194,-120.58489,857
3961320847,Amelanchier alnifolia,49.18409,-117.612221,1051
3961253942,Amelanchier alnifolia,49.109913,-118.978371,609
3961249585,Amelanchier alnifolia,49.043938,-118.216934,452
3961072478,Amelanchier alnifolia,49.183578,-117.61174,1057
3961024632,Amelanchier alnifolia,50.508816,-118.263023,1399
3961010940,Amelanchier alnifolia,48.461008,-123.318716,64
3960986532,Amelanchier alnifolia,49.096001,-119.158791,1159
3947707412,Amelanchier alnifolia,49.940872,-119.39425,438
3947672330,Amelanchier alnifolia,45.075655,-123.610763,112
3947607340,Amelanchier alnifolia,51.684261,-128.125122,19
3947597602,Amelanchier alnifolia,49.163944,-123.895164,9
3947562858,Amelanchier alnifolia,48.655136,-124.590128,156
3947393886,Amelanchier alnifolia,51.868359,-124.648087,932
3947358825,Amelanchier alnifolia,51.351337,-121.095436,1011
3947314882,Amelanchier alnifolia,47.65457,-122.414771,92
